название;изо;ссылка;инфа;цена;id
realme C25s 4/64GB (голубой);https://shop.mts.by//upload/resize_cache/webp/iblock/f1f/daha0179k1qbk2epow74aju6p0f6d6bn/400_700_1/64GB-_goluboy_.webp;https://shop.mts.by//phones/realme/realme-c25s-4-64gb-blue/;"2 SIM-картыƒиагональ: 6.5 "" амера: 48 ћпј Ѕ: 6000 mAhќ«”: 4 √б";от27руб./мес.от479руб.;bx_3966226736_770302
realme C25s 4/64GB (голубой);https://shop.mts.by//upload/resize_cache/webp/iblock/f1f/daha0179k1qbk2epow74aju6p0f6d6bn/400_700_1/64GB-_goluboy_.webp;https://shop.mts.by//phones/realme/realme-c25s-4-64gb-blue/;"2 SIM-картыƒиагональ: 6.5 "" амера: 48 ћпј Ѕ: 6000 mAhќ«”: 4 √б";от27руб./мес.от479руб.;bx_3966226736_770302
realme C25s 4/64GB (голубой);https://shop.mts.by//upload/resize_cache/webp/iblock/f1f/daha0179k1qbk2epow74aju6p0f6d6bn/400_700_1/64GB-_goluboy_.webp;https://shop.mts.by//phones/realme/realme-c25s-4-64gb-blue/;"2 SIM-картыƒиагональ: 6.5 "" амера: 48 ћпј Ѕ: 6000 mAhќ«”: 4 √б";от27руб./мес.от479руб.;bx_3966226736_770302
realme C25s 4/64GB (голубой);https://shop.mts.by//upload/resize_cache/webp/iblock/f1f/daha0179k1qbk2epow74aju6p0f6d6bn/400_700_1/64GB-_goluboy_.webp;https://shop.mts.by//phones/realme/realme-c25s-4-64gb-blue/;"2 SIM-картыƒиагональ: 6.5 "" амера: 48 ћпј Ѕ: 6000 mAhќ«”: 4 √б";от27руб./мес.от479руб.;bx_3966226736_770302
realme C25s 4/64GB (голубой);https://shop.mts.by//upload/resize_cache/webp/iblock/f1f/daha0179k1qbk2epow74aju6p0f6d6bn/400_700_1/64GB-_goluboy_.webp;https://shop.mts.by//phones/realme/realme-c25s-4-64gb-blue/;"2 SIM-картыƒиагональ: 6.5 "" амера: 48 ћпј Ѕ: 6000 mAhќ«”: 4 √б";от27руб./мес.от479руб.;bx_3966226736_770302
realme C25s 4/64GB (голубой);https://shop.mts.by//upload/resize_cache/webp/iblock/f1f/daha0179k1qbk2epow74aju6p0f6d6bn/400_700_1/64GB-_goluboy_.webp;https://shop.mts.by//phones/realme/realme-c25s-4-64gb-blue/;"2 SIM-картыƒиагональ: 6.5 "" амера: 48 ћпј Ѕ: 6000 mAhќ«”: 4 √б";от27руб./мес.от479руб.;bx_3966226736_770302
realme C25s 4/64GB (голубой);https://shop.mts.by//upload/resize_cache/webp/iblock/f1f/daha0179k1qbk2epow74aju6p0f6d6bn/400_700_1/64GB-_goluboy_.webp;https://shop.mts.by//phones/realme/realme-c25s-4-64gb-blue/;"2 SIM-картыƒиагональ: 6.5 "" амера: 48 ћпј Ѕ: 6000 mAhќ«”: 4 √б";от27руб./мес.от479руб.;bx_3966226736_770302
realme C25s 4/64GB (голубой);https://shop.mts.by//upload/resize_cache/webp/iblock/f1f/daha0179k1qbk2epow74aju6p0f6d6bn/400_700_1/64GB-_goluboy_.webp;https://shop.mts.by//phones/realme/realme-c25s-4-64gb-blue/;"2 SIM-картыƒиагональ: 6.5 "" амера: 48 ћпј Ѕ: 6000 mAhќ«”: 4 √б";от27руб./мес.от479руб.;bx_3966226736_770302
realme C25s 4/64GB (голубой);https://shop.mts.by//upload/resize_cache/webp/iblock/f1f/daha0179k1qbk2epow74aju6p0f6d6bn/400_700_1/64GB-_goluboy_.webp;https://shop.mts.by//phones/realme/realme-c25s-4-64gb-blue/;"2 SIM-картыƒиагональ: 6.5 "" амера: 48 ћпј Ѕ: 6000 mAhќ«”: 4 √б";от27руб./мес.от479руб.;bx_3966226736_770302
realme C25s 4/64GB (голубой);https://shop.mts.by//upload/resize_cache/webp/iblock/f1f/daha0179k1qbk2epow74aju6p0f6d6bn/400_700_1/64GB-_goluboy_.webp;https://shop.mts.by//phones/realme/realme-c25s-4-64gb-blue/;"2 SIM-картыƒиагональ: 6.5 "" амера: 48 ћпј Ѕ: 6000 mAhќ«”: 4 √б";от27руб./мес.от479руб.;bx_3966226736_770302
