name|link|info|price
POCO X4 Pro 5G 8/256GB (лазерный черный)|https://shop.mts.by//phones/poco/poco-x4-pro-8-256gb-black/|"Диагональ: 6.7 ""Камера: 108 МпАКБ: 5000 mAhОЗУ: 8 Гб"|от56руб./мес.от1179руб.
POCO X4 Pro 5G 6/128GB (лазерный синийй)|https://shop.mts.by//phones/poco/poco-x4-pro-5g-6-128gb-blue/|"Диагональ: 6.7 ""Камера: 108 МпАКБ: 5000 mAhОЗУ: 6 Гб"|от52руб./мес.от1059руб.
POCO X4 Pro 5G 6/128GB (лазерный черный)|https://shop.mts.by//phones/poco/poco-x4-pro-5g-6-128gb-black/|"Диагональ: 6.7 ""Камера: 108 МпАКБ: 5000 mAhОЗУ: 6 Гб"|от52руб./мес.от1059руб.
POCO F3 8/256GB (черная ночь)|https://shop.mts.by//phones/poco/poco-f3-8-256gb-black/|"Диагональ: 6.67 ""Камера: 48 МпАКБ: 4520 mAhОЗУ: 8 Гб"|от67руб./мес.от1359руб.
POCO F3 8/256GB (серебряная луна)|https://shop.mts.by//phones/poco/poco-f3-8-256gb-serebryanaya-luna/|"Диагональ: 6.67 ""Камера: 48 МпАКБ: 4520 mAhОЗУ: 8 Гб"|от67руб./мес.от1359руб.
POCO M4 Pro 5G 4/64GB (Заряженный черный)|https://shop.mts.by//phones/poco/poco-m4-pro-5g-4-64gb-black/|"Диагональ: 6.6 ""Камера: 50 МпАКБ: 5000 mAhОЗУ: 4 Гб"|от34руб./мес.от739руб.
POCO X4 Pro 5G 8/256GB (лазерный синий)|https://shop.mts.by//phones/poco/poco-x4-pro-8-256gb-blue/|"Диагональ: 6.7 ""Камера: 108 МпАКБ: 5000 mAhОЗУ: 8 Гб"|от56руб./мес.от1179руб.
POCO M4 Pro 5G 4/64GB (Желтый POCO)|https://shop.mts.by//phones/poco/poco-m4-pro-5g-4-64gb-yellow/|"Диагональ: 6.6 ""Камера: 50 МпАКБ: 5000 mAhОЗУ: 4 Гб"|от34руб./мес.от739руб.
POCO M4 Pro 5G 4/64GB (Холодный синий)|https://shop.mts.by//phones/poco/poco-m4-pro-5g-4-64gb-blue/|"Диагональ: 6.6 ""Камера: 50 МпАКБ: 5000 mAhОЗУ: 4 Гб"|от34руб./мес.от739руб.
POCO F4  GT12/256GB (кибержелтый)|https://shop.mts.by//phones/poco/poco-f4-gt12-256gb-yellow/|"Диагональ: 6.67 ""Камера: 64 МпАКБ: 4700 mAhОЗУ: 12 Гб"|от110руб./мес.от2129руб.
POCO F4 8/256GB (зеленая туманность)|https://shop.mts.by//phones/poco/poco-f4-8-256gb-green/|"Диагональ: 6.67 ""Камера: 64 МпАКБ: 4500 mAhОЗУ: 8 Гб"|от73руб./мес.от1479руб.
POCO F4 8/256GB (черная ночь)|https://shop.mts.by//phones/poco/poco-f4-8-256gb-chernaya-noch/|"Диагональ: 6.67 ""Камера: 64 МпАКБ: 4500 mAhОЗУ: 8 Гб"|от73руб./мес.от1479руб.
POCO F4  GT12/256GB (черный ниндзя)|https://shop.mts.by//phones/poco/poco-f4-gt12-256gb-black/|"Диагональ: 6.67 ""Камера: 64 МпАКБ: 4700 mAhОЗУ: 12 Гб"|от110руб./мес.от2129руб.
POCO M4 Pro 6/128GB (Заряженный черный)|https://shop.mts.by//phones/poco/poco-m4-pro-6-128gb-black/|"Диагональ: 6.43 ""Камера: 64 МпАКБ: 5000 mAhОЗУ: 6 Гб"|от32руб./мес.от659руб.
POCO M4 Pro 8/256GB (Заряженный черный)|https://shop.mts.by//phones/poco/poco-m4-pro-8-256gb-black/|"Диагональ: 6.43 ""Камера: 64 МпАКБ: 5000 mAhОЗУ: 8 Гб"|от37руб./мес.от779руб.
POCO F3 8/256GB (белый айсберг)|https://shop.mts.by//phones/poco/poco-f3-8-256gb-arctic-white/|"Диагональ: 6.67 ""Камера: 48 МпАКБ: 4520 mAhОЗУ: 8 Гб"|от67руб./мес.от1359руб.
POCO M4 Pro 8/256GB (желтый)|https://shop.mts.by//phones/poco/poco-m4-pro-8-256gb-yellow/|"Диагональ: 6.43 ""Камера: 64 МпАКБ: 5000 mAhОЗУ: 8 Гб"|от37руб./мес.от779руб.
POCO M4 Pro 8/256GB (голубой)|https://shop.mts.by//phones/poco/poco-m4-pro-8-256gb-blue/|"Диагональ: 6.43 ""Камера: 64 МпАКБ: 5000 mAhОЗУ: 8 Гб"|от37руб./мес.от779руб.
POCO M4 Pro 6/128GB (голубой)|https://shop.mts.by//phones/poco/poco-m4-pro-6-128gb-blue/|"Диагональ: 6.43 ""Камера: 64 МпАКБ: 5000 mAhОЗУ: 6 Гб"|от32руб./мес.от659руб.
POCO X4 Pro 5G 8/256GB (лазерный черный)|https://shop.mts.by//phones/poco/poco-x4-pro-8-256gb-black/|"Диагональ: 6.7 ""Камера: 108 МпАКБ: 5000 mAhОЗУ: 8 Гб"|от56руб./мес.от1179руб.
POCO X4 Pro 5G 6/128GB (лазерный синийй)|https://shop.mts.by//phones/poco/poco-x4-pro-5g-6-128gb-blue/|"Диагональ: 6.7 ""Камера: 108 МпАКБ: 5000 mAhОЗУ: 6 Гб"|от52руб./мес.от1059руб.
POCO X4 Pro 5G 6/128GB (лазерный черный)|https://shop.mts.by//phones/poco/poco-x4-pro-5g-6-128gb-black/|"Диагональ: 6.7 ""Камера: 108 МпАКБ: 5000 mAhОЗУ: 6 Гб"|от52руб./мес.от1059руб.
POCO F3 8/256GB (черная ночь)|https://shop.mts.by//phones/poco/poco-f3-8-256gb-black/|"Диагональ: 6.67 ""Камера: 48 МпАКБ: 4520 mAhОЗУ: 8 Гб"|от67руб./мес.от1359руб.
