название;изо;ссылка;инфа;цена;id
Samsung Galaxy Z Fold3 12/256GB (зеленый);https://shop.mts.by//upload/resize_cache/webp/iblock/310/400_700_1/256GB-F926-_zelenyy_.webp;https://shop.mts.by//phones/samsung/samsung-galaxy-z-fold3-12-256gb-green/;"ƒиагональ: 7.6 "" амера: 12 ћпј Ѕ: 4400 mAhќ«”: 12 √б";от328руб./мес.от4999руб.;bx_3966226736_742290
Samsung Galaxy Z Fold3 12/256GB (зеленый);https://shop.mts.by//upload/resize_cache/webp/iblock/310/400_700_1/256GB-F926-_zelenyy_.webp;https://shop.mts.by//phones/samsung/samsung-galaxy-z-fold3-12-256gb-green/;"ƒиагональ: 7.6 "" амера: 12 ћпј Ѕ: 4400 mAhќ«”: 12 √б";от328руб./мес.от4999руб.;bx_3966226736_742290
Samsung Galaxy Z Fold3 12/256GB (зеленый);https://shop.mts.by//upload/resize_cache/webp/iblock/310/400_700_1/256GB-F926-_zelenyy_.webp;https://shop.mts.by//phones/samsung/samsung-galaxy-z-fold3-12-256gb-green/;"ƒиагональ: 7.6 "" амера: 12 ћпј Ѕ: 4400 mAhќ«”: 12 √б";от328руб./мес.от4999руб.;bx_3966226736_742290
Samsung Galaxy Z Fold3 12/256GB (зеленый);https://shop.mts.by//upload/resize_cache/webp/iblock/310/400_700_1/256GB-F926-_zelenyy_.webp;https://shop.mts.by//phones/samsung/samsung-galaxy-z-fold3-12-256gb-green/;"ƒиагональ: 7.6 "" амера: 12 ћпј Ѕ: 4400 mAhќ«”: 12 √б";от328руб./мес.от4999руб.;bx_3966226736_742290
Samsung Galaxy Z Fold3 12/256GB (зеленый);https://shop.mts.by//upload/resize_cache/webp/iblock/310/400_700_1/256GB-F926-_zelenyy_.webp;https://shop.mts.by//phones/samsung/samsung-galaxy-z-fold3-12-256gb-green/;"ƒиагональ: 7.6 "" амера: 12 ћпј Ѕ: 4400 mAhќ«”: 12 √б";от328руб./мес.от4999руб.;bx_3966226736_742290
Samsung Galaxy Z Fold3 12/256GB (зеленый);https://shop.mts.by//upload/resize_cache/webp/iblock/310/400_700_1/256GB-F926-_zelenyy_.webp;https://shop.mts.by//phones/samsung/samsung-galaxy-z-fold3-12-256gb-green/;"ƒиагональ: 7.6 "" амера: 12 ћпј Ѕ: 4400 mAhќ«”: 12 √б";от328руб./мес.от4999руб.;bx_3966226736_742290
Samsung Galaxy Z Fold3 12/256GB (зеленый);https://shop.mts.by//upload/resize_cache/webp/iblock/310/400_700_1/256GB-F926-_zelenyy_.webp;https://shop.mts.by//phones/samsung/samsung-galaxy-z-fold3-12-256gb-green/;"ƒиагональ: 7.6 "" амера: 12 ћпј Ѕ: 4400 mAhќ«”: 12 √б";от328руб./мес.от4999руб.;bx_3966226736_742290
Samsung Galaxy Z Fold3 12/256GB (зеленый);https://shop.mts.by//upload/resize_cache/webp/iblock/310/400_700_1/256GB-F926-_zelenyy_.webp;https://shop.mts.by//phones/samsung/samsung-galaxy-z-fold3-12-256gb-green/;"ƒиагональ: 7.6 "" амера: 12 ћпј Ѕ: 4400 mAhќ«”: 12 √б";от328руб./мес.от4999руб.;bx_3966226736_742290
Samsung Galaxy Z Fold3 12/256GB (зеленый);https://shop.mts.by//upload/resize_cache/webp/iblock/310/400_700_1/256GB-F926-_zelenyy_.webp;https://shop.mts.by//phones/samsung/samsung-galaxy-z-fold3-12-256gb-green/;"ƒиагональ: 7.6 "" амера: 12 ћпј Ѕ: 4400 mAhќ«”: 12 √б";от328руб./мес.от4999руб.;bx_3966226736_742290
Samsung Galaxy Z Fold3 12/256GB (зеленый);https://shop.mts.by//upload/resize_cache/webp/iblock/310/400_700_1/256GB-F926-_zelenyy_.webp;https://shop.mts.by//phones/samsung/samsung-galaxy-z-fold3-12-256gb-green/;"ƒиагональ: 7.6 "" амера: 12 ћпј Ѕ: 4400 mAhќ«”: 12 √б";от328руб./мес.от4999руб.;bx_3966226736_742290
Samsung Galaxy Z Fold3 12/256GB (зеленый);https://shop.mts.by//upload/resize_cache/webp/iblock/310/400_700_1/256GB-F926-_zelenyy_.webp;https://shop.mts.by//phones/samsung/samsung-galaxy-z-fold3-12-256gb-green/;"ƒиагональ: 7.6 "" амера: 12 ћпј Ѕ: 4400 mAhќ«”: 12 √б";от328руб./мес.от4999руб.;bx_3966226736_742290
Samsung Galaxy Z Fold3 12/256GB (зеленый);https://shop.mts.by//upload/resize_cache/webp/iblock/310/400_700_1/256GB-F926-_zelenyy_.webp;https://shop.mts.by//phones/samsung/samsung-galaxy-z-fold3-12-256gb-green/;"ƒиагональ: 7.6 "" амера: 12 ћпј Ѕ: 4400 mAhќ«”: 12 √б";от328руб./мес.от4999руб.;bx_3966226736_742290
Samsung Galaxy Z Fold3 12/256GB (зеленый);https://shop.mts.by//upload/resize_cache/webp/iblock/310/400_700_1/256GB-F926-_zelenyy_.webp;https://shop.mts.by//phones/samsung/samsung-galaxy-z-fold3-12-256gb-green/;"ƒиагональ: 7.6 "" амера: 12 ћпј Ѕ: 4400 mAhќ«”: 12 √б";от328руб./мес.от4999руб.;bx_3966226736_742290
Samsung Galaxy Z Fold3 12/256GB (зеленый);https://shop.mts.by//upload/resize_cache/webp/iblock/310/400_700_1/256GB-F926-_zelenyy_.webp;https://shop.mts.by//phones/samsung/samsung-galaxy-z-fold3-12-256gb-green/;"ƒиагональ: 7.6 "" амера: 12 ћпј Ѕ: 4400 mAhќ«”: 12 √б";от328руб./мес.от4999руб.;bx_3966226736_742290
